Title,URL
Principal dates,https://www.monash.edu/students/admin/dates/principal-dates
Semester dates summary,https://www.monash.edu/students/admin/dates/summary-dates
Census dates,https://www.monash.edu/students/admin/dates/census-dates
System access dates,https://www.monash.edu/students/admin/dates/system-access-dates
Web Enrolment System (WES),https://www.monash.edu/students/admin/dates/system-access-dates/wes
Allocate+,https://www.monash.edu/students/admin/dates/system-access-dates/allocate
Calendars and holidays,https://www.monash.edu/students/admin/dates/calendar
Multifaith calendar,https://www.monash.edu/students/admin/dates/calendar/cultural-calendar
Holidays and closedown,https://www.monash.edu/students/admin/dates/holidays
Summer and winter semesters,https://www.monash.edu/students/admin/dates/summer-and-winter-semester
November dates,https://www.monash.edu/students/admin/dates/nov-12
Enrol for the first time,https://www.monash.edu/students/admin/enrolments/first-time
Check your enrolment,https://www.monash.edu/students/admin/enrolments/first-time/check
Unique Student Identifier (USI),https://www.monash.edu/students/admin/enrolments/first-time/unique-student-identifier-usi
Cross-institutional study,https://www.monash.edu/students/admin/enrolments/first-time/cross-institutional
Re-enrol,https://www.monash.edu/students/admin/enrolments/re-enrol
Re-enrolment for coursework students,https://www.monash.edu/students/admin/enrolments/re-enrol/coursework
Late or failure to re-enrol,https://www.monash.edu/students/admin/enrolments/re-enrol/late-or-failure
"Summer, winter, October and November",https://www.monash.edu/students/admin/enrolments/summer-winter
Units offered,https://www.monash.edu/students/admin/enrolments/summer-winter/faculty
Important dates,https://www.monash.edu/students/admin/enrolments/summer-winter/dates
How to enrol,https://www.monash.edu/students/admin/enrolments/summer-winter/instructions
Fees and statements,https://www.monash.edu/students/admin/enrolments/summer-winter/fees
Changing your enrolment,https://www.monash.edu/students/admin/enrolments/change
Add or withdraw from units,https://www.monash.edu/students/admin/enrolments/change/add-or-discontinue-units
Intermission (study leave),https://www.monash.edu/students/admin/enrolments/change/intermission
Changes to honours enrolment,https://www.monash.edu/students/admin/enrolments/change/honours
Study electives with other faculties,https://www.monash.edu/students/admin/enrolments/change/electives-other-faculties
Study at another institution,https://www.monash.edu/students/admin/enrolments/change/complementary-study
Transfer to another college or university,https://www.monash.edu/students/admin/enrolments/change/transfer-university
"Failed, withheld and invalid units",https://www.monash.edu/students/admin/enrolments/change/failed-withheld-invalid-units
Discontinue your course,https://www.monash.edu/students/admin/enrolments/change/discontinue-course
Supporting docs - compassionate or compelling circumstances,https://www.monash.edu/students/admin/enrolments/change/documents
Units cancelled by the University,https://www.monash.edu/students/admin/enrolments/change/units-cancelled-by-the-university
Losing your place at Monash,https://www.monash.edu/students/admin/enrolments/change/losing-your-place
Changing your personal details,https://www.monash.edu/students/admin/enrolments/personal-details
What we'll update,https://www.monash.edu/students/admin/enrolments/personal-details/updated
What you should know,https://www.monash.edu/students/admin/enrolments/personal-details/to-do
Change of residency status,https://www.monash.edu/students/admin/enrolments/residency-status
Important dates,https://www.monash.edu/students/admin/enrolments/dates
Census dates,https://www.monash.edu/students/admin/enrolments/dates/census
Units with non-standard dates,https://www.monash.edu/students/admin/enrolments/dates/non-standard
What are census dates?,https://www.monash.edu/students/admin/enrolments/dates/census-definition
Dates for WES access,https://www.monash.edu/students/admin/enrolments/dates/wes-access
Principal dates,https://www.monash.edu/students/admin/enrolments/dates/principal-dates
Double degrees,https://www.monash.edu/students/admin/enrolments/double-degrees
Unit mode,https://www.monash.edu/students/admin/enrolments/attendance
Study load,https://www.monash.edu/students/admin/enrolments/study-load
Government support,https://www.monash.edu/students/admin/enrolments/government-support
CSP,https://www.monash.edu/students/admin/enrolments/government-support/commonwealth-supported-place
Residency requirements,https://www.monash.edu/students/admin/enrolments/government-support/residency-requirements
Tax file number (TFN),https://www.monash.edu/students/admin/enrolments/government-support/tfn
HECS-HELP loans,https://www.monash.edu/students/admin/enrolments/government-support/hecs-help
FEE-HELP loans,https://www.monash.edu/students/admin/enrolments/government-support/fee-help
HELP loans for New Zealand citizens,https://www.monash.edu/students/admin/enrolments/government-support/help-loans-nz-citizens
HELP loan balance and limits,https://www.monash.edu/students/admin/enrolments/government-support/help-loan-balance-limits
SA-HELP,https://www.monash.edu/students/admin/enrolments/government-support/sa-help
Income support for masters courses,https://www.monash.edu/students/admin/enrolments/government-support/masters-courses
Unit pass rate requirement,https://www.monash.edu/students/admin/enrolments/government-support/unit-pass-rate
